zomet,ishuv,rehov1,rehov2,x,y
180622,4000,1041,1059,201182,742287
180622,4000,795,1041,201182,742287
190001,2660,140,158,175456,642391
190001,2660,158,211,175456,642391
190001,2660,140,211,175456,642391
190002,7800,101,105,197566,709229
190005,7600,205,403,207804,759279
190011,6600,106,107,181321,657537
190041,7400,837,844,188741,691960
190061,240,254,259,209313,727635
190064,240,210,259,208990,727749
190064,240,154,259,208990,727749
190064,240,154,210,208990,727749
190122,4000,177,215,207357,747110
190521,3000,1514,1516,220905,630927
200005,6900,374,387,192036,675542
200006,6900,502,532,190876,675464
200006,7600,507,510,207147,759090
200032,6200,304,311,175686,657221
200041,7400,702,844,188379,691990
200123,3000,101,121,221003,633289
200213,3000,903,930,218245,633124
200422,4000,659,917,199386,745024
210001,1015,126,154,213960,634003
210007,6500,602,609,192948,704662
210053,7400,949,973,186316,687478
210053,7400,949,993,186316,687478
210053,7400,973,993,186316,687478
210055,7900,610,611,190664,664249
210214,3000,612,915,219419,632898
210225,8600,1011,1520,183548,663841
210412,4000,608,775,199857,742987
210521,3000,1509,1514,221023,630923
210521,3000,1509,1520,221023,630923
210521,3000,1514,1520,221023,630923
220001,8700,144,204,189213,677607
220001,8700,204,367,189213,677607
220001,8700,144,367,189213,677607
220002,7800,106,110,197950,709253
220015,154,115,224,192537,684306
220026,154,151,158,192337,684796
220041,7900,221,227,189519,665996
220215,8600,1315,1401,183435,664350
220216,8600,1108,1202,183860,664641
230001,3570,202,210,216621,668075
230003,70,175,176,166181,635470
230006,6800,323,624,207416,745260
230006,6800,323,667,207416,745260
230006,6800,323,669,207416,745260
230006,6800,624,667,207416,745260
230006,6800,624,669,207416,745260
230006,6800,667,669,207416,745260
230008,6500,603,713,192295,704369
230008,6500,603,820,192295,704369
230008,6500,713,820,192295,704369
230019,9800,108,155,194957,714223
230093,9800,151,222,195561,713446
230425,4000,690,704,198382,745891
230624,5000,1526,1532,179799,663059
230624,5000,1532,1554,179799,663059
230624,5000,1526,1554,179799,663059
230743,3000,4165,4419,222056,632668
240001,1200,402,441,200649,646308
240001,7600,108,112,207819,758648
240022,6400,309,421,185326,674660
240032,7400,401,6001,186213,692975
240041,469,107,112,183328,641382
240086,469,107,135,183104,641442
240086,469,107,193,183104,641442
240086,469,135,193,183104,641442
240099,469,135,104,,
240101,469,123,200,183317,640598
240513,3000,1636,1638,220744,629968
240513,3000,1638,1646,220744,629968
240513,3000,1636,1646,220744,629968
250001,195,131,253,192506,687834
250001,195,114,253,192506,687834
250001,195,114,131,192506,687834
250001,246,251,252,160344,591649
250001,666,117,122,185464,574643
250001,1200,303,451,200565,645887
250005,6800,239,323,210073,745734
250005,6800,220,323,210073,745734
250005,6800,220,239,210073,745734
250005,7300,418,434,227323,733258
250005,7300,424,434,227323,733258
250005,7300,417,424,227323,733258
250005,7300,418,424,227323,733258
250005,7300,417,434,227323,733258
250005,7300,417,418,227323,733258
250007,6500,606,612,193256,704933
250021,7400,303,329,187123,693875
250031,7400,437,521,186579,692685
250032,6200,304,553,175952,657492
250161,3000,728,801,220041,631571
250224,4000,348,370,200244,747183
